"","tag_serial_number","tag_type","tag_subtype","sensor_type","acoustic_tag_id","acoustic_tag_id_alternative","manufacturer","model","frequency","status","activation_date","battery_estimated_life","battery_estimated_end_date","length","diameter","weight","floating","archive_memory","sensor_slope","sensor_intercept","sensor_range","sensor_range_min","sensor_range_max","sensor_resolution","sensor_unit","sensor_accuracy","sensor_transmit_ratio","accelerometer_algorithm","accelerometer_samples_per_second","owner_organization","owner_pi","financing_project","step1_min_delay","step1_max_delay","step1_power","step1_duration","step1_acceleration_duration","step2_min_delay","step2_max_delay","step2_power","step2_duration","step2_acceleration_duration","step3_min_delay","step3_max_delay","step3_power","step3_duration","step3_acceleration_duration","step4_min_delay","step4_max_delay","step4_power","step4_duration","step4_acceleration_duration","tag_id","tag_device_id"
"1","1271063","acoustic-archival","animal","A","A69-9006-921",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 10:00:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1811",81
"2","1271063","acoustic-archival","animal","P","A69-9006-922",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 10:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1812",81
"3","1271064","acoustic-archival","animal","A","A69-9006-923",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-12-05 06:00:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1813",82
"4","1271064","acoustic-archival","animal","P","A69-9006-924",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-12-05 06:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1814",82
"5","1271067","acoustic-archival","animal","A","A69-9006-929",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 09:25:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1819",85
"6","1271067","acoustic-archival","animal","P","A69-9006-930",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 09:25:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1820",85
"7","1271068","acoustic-archival","animal","A","A69-9006-931",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 09:30:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1821",86
"8","1271068","acoustic-archival","animal","P","A69-9006-932",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 09:30:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1822",86
"9","1271069","acoustic-archival","animal","A","A69-9006-933",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-12-23 06:30:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1823",87
"10","1271069","acoustic-archival","animal","P","A69-9006-934",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-12-23 06:30:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1824",87
"11","1271070","acoustic-archival","animal","A","A69-9006-935",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-01-16 11:00:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1825",88
"12","1271070","acoustic-archival","animal","P","A69-9006-936",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-01-16 11:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1826",88
"13","1271073","acoustic-archival","animal","A","A69-9006-941",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 08:00:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1831",91
"14","1271073","acoustic-archival","animal","P","A69-9006-942",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 08:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1832",91
"15","1271074","acoustic-archival","animal","A","A69-9006-943",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","ended",2018-06-25,"490",2019-10-28,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1833",92
"16","1271074","acoustic-archival","animal","P","A69-9006-944",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","ended",2018-06-25,"490",2019-10-28,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1834",92
"17","1271075","acoustic-archival","animal","A","A69-9006-945",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 10:30:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1835",93
"18","1271075","acoustic-archival","animal","P","A69-9006-946",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"490",2020-10-08 10:30:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1836",93
"19","1271077","acoustic-archival","animal","A","A69-9006-949",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","active",NA,"490",2021-12-10 04:00:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1839",95
"20","1271077","acoustic-archival","animal","P","A69-9006-950",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","active",NA,"490",2021-12-10 04:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1840",95
"21","1271078","acoustic-archival","animal","A","A69-9006-951",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","ended",NA,"490",2020-01-01 09:00:00,NA,NA,NA,NA,NA,0.013588,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1841",96
"22","1271078","acoustic-archival","animal","P","A69-9006-952",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","ended",NA,"490",2020-01-01 09:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"140","220","H",495,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,NA,NA,NA,NA,NA,"acoustic:1842",96
"23","1271096","acoustic-archival","animal","A","A69-9006-987",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"196",2019-12-19 08:00:00,NA,NA,NA,NA,NA,0.01922,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"30","60","H",30,NA,"140","220","H",168,NA,NA,NA,"L",365,NA,NA,NA,NA,NA,NA,"acoustic:1877",114
"24","1271096","acoustic-archival","animal","P","A69-9006-988",NA,"INNOVASEA","V13AP-1x-069k-1-0034m","069k","available",NA,"196",2019-12-19 08:00:00,NA,NA,NA,NA,NA,0.1516,-0.6065,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VLIZ","Jan Reubens",NA,"30","60","H",30,NA,"140","220","H",168,NA,NA,NA,"L",365,NA,NA,NA,NA,NA,NA,"acoustic:1878",114
"25","1292638","acoustic-archival","animal","pressure","A69-9006-3639",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-09-13 08:00:00,"354",2019-09-02 08:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1802",257
"26","1292638","acoustic-archival","animal","temperature","A69-9006-3638",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-09-13 08:00:00,"354",2019-09-02 08:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1803",257
"27","1292639","acoustic-archival","animal","pressure","A69-9006-3641",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-03 11:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1804",258
"28","1292639","acoustic-archival","animal","temperature","A69-9006-3640",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-03 11:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1805",258
"29","1292640","acoustic-archival","animal","temperature","A69-9006-3642",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1806",259
"30","1292640","acoustic-archival","animal","pressure","A69-9006-3643",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1807",259
"31","1292641","acoustic-archival","animal","pressure","A69-9006-3645",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1808",260
"32","1292641","acoustic-archival","animal","temperature","A69-9006-3644",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1809",260
"33","1292642","acoustic-archival","animal","pressure","A69-9006-3647",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1810",261
"34","1292642","acoustic-archival","animal","temperature","A69-9006-3646",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1811",261
"35","1292643","acoustic-archival","animal","pressure","A69-9006-3649",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1812",262
"36","1292643","acoustic-archival","animal","temperature","A69-9006-3648",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1813",262
"37","1292644","acoustic-archival","animal","pressure","A69-9006-3651",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1814",263
"38","1292644","acoustic-archival","animal","temperature","A69-9006-3650",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1815",263
"39","1292645","acoustic-archival","animal","temperature","A69-9006-3652",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-02 11:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1816",264
"40","1292645","acoustic-archival","animal","pressure","A69-9006-3653",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-02 11:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1817",264
"41","1292646","acoustic-archival","animal","pressure","A69-9006-3655",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-03 11:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1818",265
"42","1292646","acoustic-archival","animal","temperature","A69-9006-3654",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-03 11:30:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1819",265
"43","1292647","acoustic-archival","animal","temperature","A69-9006-3656",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1820",266
"44","1292647","acoustic-archival","animal","pressure","A69-9006-3657",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1821",266
"45","1292648","acoustic-archival","animal","temperature","A69-9006-3658",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1822",267
"46","1292648","acoustic-archival","animal","pressure","A69-9006-3659",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1823",267
"47","1292649","acoustic-archival","animal","temperature","A69-9006-3660",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1824",268
"48","1292649","acoustic-archival","animal","pressure","A69-9006-3661",NA,"INNOVASEA","V9TP-2x",NA,"available",NA,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1825",268
"49","1292650","acoustic-archival","animal","pressure","A69-9006-3663",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1826",269
"50","1292650","acoustic-archival","animal","temperature","A69-9006-3662",NA,"INNOVASEA","V9TP-2x",NA,"ended",2018-10-06 13:00:00,"354",2019-09-25 13:00:00,NA,NA,NA,NA,NA,0,-5,"-5 to 35",NA,NA,NA,"°C",NA,1,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1827",269
"51","1292651","acoustic-archival","animal","pressure","A69-9006-3665",NA,"INNOVASEA","V9TP-2x",NA,"ended",2019-08-21 07:30:00,"354",2020-08-09 07:30:00,NA,NA,NA,NA,NA,0,-1,"68",NA,NA,NA,"Meters",NA,3,NA,NA,"VLIZ","Jan Reubens",NA,"120","240","H",120,NA,"240","360","H",239,NA,NA,NA,"L",365,NA,NA,NA,"L",0,NA,"archive:1828",270
